Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2015-08-07,Lille,Paris SG,0,1,A,0,0,D,,12,7,2,2,20,17,3,2,3,2,0,1
2015-08-08,Bastia,Rennes,2,1,H,0,1,A,,11,6,3,3,15,19,6,2,0,1,1,0
2015-08-08,Marseille,Caen,0,1,A,0,1,A,,17,8,4,4,10,10,14,2,1,0,0,0
2015-08-08,Montpellier,Angers,0,2,A,0,1,A,,11,16,4,6,12,15,5,9,3,2,0,0
2015-08-08,Nantes,Guingamp,1,0,H,0,0,D,,9,10,4,4,13,16,6,2,2,2,0,0
2015-08-08,Nice,Monaco,1,2,A,1,0,H,,5,19,2,6,18,18,2,10,2,2,1,0
2015-08-08,Troyes,Ajaccio GFCO,0,0,D,0,0,D,,12,6,4,1,11,8,9,3,0,4,0,0
2015-08-09,Bordeaux,Reims,1,2,A,1,0,H,,14,14,4,6,14,12,4,3,2,2,0,0
2015-08-09,Lyon,Lorient,0,0,D,0,0,D,,21,10,6,5,11,12,7,2,1,2,0,0
2015-08-09,Toulouse,St Etienne,2,1,H,1,1,D,,9,11,3,2,10,10,3,4,0,1,1,0
2015-08-14,Monaco,Lille,0,0,D,0,0,D,,9,9,3,2,12,19,4,6,1,5,0,0
2015-08-15,Angers,Nantes,0,0,D,0,0,D,,10,2,3,1,12,17,4,2,3,4,0,0
2015-08-15,Caen,Toulouse,1,0,H,0,0,D,,9,13,3,4,14,14,3,3,1,3,0,1
2015-08-15,Guingamp,Lyon,0,1,A,0,0,D,,11,11,3,3,16,18,9,2,2,2,0,0
2015-08-15,Rennes,Montpellier,1,0,H,0,0,D,,10,4,2,0,11,9,3,4,3,1,0,0
2015-08-15,St Etienne,Bordeaux,1,1,D,0,0,D,,7,17,2,3,17,11,1,8,2,1,0,0
2015-08-15,Troyes,Nice,3,3,D,1,3,A,,11,18,7,6,11,13,11,3,3,3,1,0
2015-08-16,Lorient,Bastia,1,1,D,0,1,A,,12,7,4,2,13,15,4,2,3,2,0,0
2015-08-16,Paris SG,Ajaccio GFCO,2,0,H,2,0,H,,18,8,6,2,8,14,4,1,1,3,0,0
2015-08-16,Reims,Marseille,1,0,H,1,0,H,,15,13,5,4,13,14,8,7,2,2,0,1
2015-08-21,Montpellier,Paris SG,0,1,A,0,0,D,,10,9,3,5,13,8,2,1,2,1,0,0
2015-08-22,Ajaccio GFCO,Angers,0,2,A,0,2,A,,8,9,3,5,12,10,9,3,2,2,0,0
2015-08-22,Bastia,Guingamp,3,0,H,2,0,H,,10,15,5,4,14,13,3,5,2,3,0,0
2015-08-22,Lyon,Rennes,1,2,A,1,1,D,,15,6,4,3,12,13,6,1,1,3,0,0
2015-08-22,Nantes,Reims,1,0,H,0,0,D,,13,2,6,1,12,10,1,2,1,3,0,0
2015-08-22,Nice,Caen,2,1,H,0,0,D,,7,12,4,6,7,16,2,3,1,3,0,0
2015-08-22,Toulouse,Monaco,1,1,D,1,0,H,,13,14,4,3,13,20,4,5,0,4,0,0
2015-08-23,Lille,Bordeaux,0,0,D,0,0,D,,15,12,5,4,11,23,12,10,1,5,0,0
2015-08-23,Lorient,St Etienne,0,1,A,0,0,D,,10,12,2,5,12,24,3,4,0,3,1,0
2015-08-23,Marseille,Troyes,6,0,H,1,0,H,,16,6,7,1,8,9,6,5,1,1,0,0
2015-08-28,Guingamp,Marseille,2,0,H,0,0,D,,12,14,5,6,10,13,4,8,1,5,0,0
2015-08-29,Angers,Nice,1,1,D,1,0,H,,5,11,2,5,14,8,3,6,2,2,0,0
2015-08-29,Caen,Lyon,0,4,A,0,2,A,,14,13,6,5,13,17,8,3,1,0,1,0
2015-08-29,Lille,Ajaccio GFCO,1,0,H,1,0,H,,13,12,5,6,13,17,7,4,1,3,0,0
2015-08-29,Reims,Lorient,4,1,H,1,0,H,,14,13,10,4,12,8,5,5,3,1,0,0
2015-08-29,Rennes,Toulouse,3,1,H,1,1,D,,13,8,5,3,12,9,7,3,2,3,0,0
2015-08-29,Troyes,Montpellier,0,0,D,0,0,D,,8,13,1,4,16,10,4,5,2,1,0,0
2015-08-30,Bordeaux,Nantes,2,0,H,1,0,H,,19,11,4,1,9,17,7,5,3,3,0,1
2015-08-30,Monaco,Paris SG,0,3,A,0,0,D,,3,19,2,8,7,12,3,2,0,1,0,0
2015-08-30,St Etienne,Bastia,2,1,H,1,1,D,,23,6,6,1,11,6,12,0,1,1,0,2
2015-09-11,Paris SG,Bordeaux,2,2,D,2,1,H,,19,10,5,3,11,14,11,6,2,2,0,1
2015-09-12,Lorient,Angers,3,1,H,0,1,A,,14,7,6,1,10,18,6,2,1,1,0,0
2015-09-12,Lyon,Lille,0,0,D,0,0,D,,13,9,6,3,14,20,7,1,1,4,0,0
2015-09-12,Montpellier,St Etienne,1,2,A,0,1,A,,16,12,8,3,16,20,9,5,3,2,0,0
2015-09-12,Nice,Guingamp,0,1,A,0,0,D,,16,8,1,3,10,23,1,1,1,3,0,0
2015-09-12,Toulouse,Reims,2,2,D,2,0,H,,15,9,6,4,10,15,2,4,2,2,0,0
2015-09-12,Troyes,Caen,1,3,A,0,2,A,,14,15,6,8,7,9,6,5,4,0,0,1
2015-09-13,Ajaccio GFCO,Monaco,0,1,A,0,1,A,,24,13,4,8,16,15,14,4,3,3,0,0
2015-09-13,Marseille,Bastia,4,1,H,1,0,H,,12,6,7,2,11,9,5,0,2,1,0,0
2015-09-13,Nantes,Rennes,0,2,A,0,0,D,,10,16,3,6,14,11,1,6,2,3,2,0
2015-09-18,Rennes,Lille,1,1,D,0,0,D,,9,15,3,5,17,18,8,2,3,4,0,1
2015-09-19,Angers,Troyes,1,0,H,0,0,D,,16,14,4,0,15,15,6,5,2,3,1,0
2015-09-19,Bastia,Nice,1,3,A,1,2,A,,8,9,2,6,11,14,7,3,1,2,0,0
2015-09-19,Caen,Montpellier,2,1,H,1,1,D,,16,3,6,2,15,24,3,5,2,4,0,0
2015-09-19,Guingamp,Ajaccio GFCO,2,1,H,1,1,D,,14,7,4,3,6,16,10,1,2,4,0,1
2015-09-19,Reims,Paris SG,1,1,D,0,0,D,,7,17,3,6,9,9,3,9,2,2,0,0
2015-09-20,Bordeaux,Toulouse,1,1,D,0,1,A,,17,9,5,5,18,11,6,3,2,2,0,1
2015-09-20,Marseille,Lyon,1,1,D,0,1,A,,14,12,4,5,15,12,1,5,4,1,1,0
2015-09-20,Monaco,Lorient,2,3,A,1,2,A,,13,16,6,7,11,15,3,3,4,4,0,0
2015-09-20,St Etienne,Nantes,2,0,H,1,0,H,,12,11,3,2,11,9,3,9,2,1,0,0
2015-09-22,Angers,Reims,0,0,D,0,0,D,,8,3,3,1,8,19,1,3,1,3,0,0
2015-09-22,Paris SG,Guingamp,3,0,H,1,0,H,,18,10,10,4,10,10,9,4,1,1,0,0
2015-09-23,Ajaccio GFCO,Rennes,1,1,D,1,0,H,,13,16,2,8,6,14,3,3,0,1,0,0
2015-09-23,Lorient,Caen,2,0,H,2,0,H,,8,14,4,2,13,10,4,11,2,2,0,0
2015-09-23,Lyon,Bastia,2,0,H,1,0,H,,14,4,7,2,9,7,3,2,2,1,0,1
2015-09-23,Nice,Bordeaux,6,1,H,2,1,H,,17,6,10,3,14,8,4,4,0,1,0,1
2015-09-23,Toulouse,Marseille,1,1,D,0,0,D,,11,8,3,1,12,14,3,5,2,0,2,1
2015-09-23,Troyes,St Etienne,0,1,A,0,1,A,,14,13,4,6,10,14,7,6,3,0,0,0
2015-09-24,Montpellier,Monaco,2,3,A,2,0,H,,16,13,5,5,13,18,2,7,2,1,0,0
2015-09-25,Reims,Lille,1,0,H,0,0,D,,10,10,5,3,16,23,4,6,3,3,0,0
2015-09-26,Bastia,Toulouse,3,0,H,3,0,H,,9,16,6,5,10,10,1,18,3,3,0,0
2015-09-26,Bordeaux,Lyon,3,1,H,3,0,H,,10,10,4,4,10,9,3,5,2,0,0,0
2015-09-26,Caen,Ajaccio GFCO,2,0,H,1,0,H,,16,8,9,2,12,15,8,7,1,4,0,0
2015-09-26,Nantes,Paris SG,1,4,A,1,0,H,,7,14,2,7,20,9,4,7,2,1,0,0
2015-09-26,Rennes,Troyes,1,1,D,0,1,A,,19,12,5,6,11,9,8,3,1,3,1,0
2015-09-27,Guingamp,Monaco,3,3,D,1,2,A,,16,9,7,4,19,16,4,1,5,3,0,0
2015-09-27,Marseille,Angers,1,2,A,0,1,A,,18,6,4,3,12,13,6,4,3,3,0,0
2015-09-27,Montpellier,Lorient,2,1,H,1,0,H,,11,10,4,3,11,21,9,3,2,5,0,1
2015-09-27,St Etienne,Nice,1,4,A,1,3,A,,13,8,5,6,12,7,8,2,4,1,0,2
2015-09-29,Lille,Nantes,0,1,A,0,1,A,,20,9,4,2,8,21,11,2,0,3,0,0
2015-10-02,Lille,Montpellier,2,0,H,1,0,H,,22,9,5,3,17,15,9,2,3,1,0,0
2015-10-03,Ajaccio GFCO,Toulouse,2,2,D,2,1,H,,7,12,3,5,16,11,6,7,3,0,0,0
2015-10-03,Angers,Bastia,1,0,H,1,0,H,,17,8,6,2,16,16,7,5,1,2,0,0
2015-10-03,Lyon,Reims,1,0,H,1,0,H,,17,8,6,3,11,9,5,1,2,2,0,0
2015-10-03,Troyes,Guingamp,0,1,A,0,0,D,,12,18,2,7,22,16,5,4,1,2,1,0
2015-10-04,Caen,St Etienne,1,0,H,0,0,D,,14,10,7,3,11,13,5,7,0,3,0,0
2015-10-04,Lorient,Bordeaux,3,2,H,0,1,A,,7,9,4,5,8,17,3,5,0,2,1,1
2015-10-04,Monaco,Rennes,1,1,D,0,1,A,,14,8,6,3,14,16,8,3,3,2,0,0
2015-10-04,Paris SG,Marseille,2,1,H,2,1,H,,16,13,8,8,13,12,4,6,2,3,0,0
2015-10-16,Monaco,Lyon,1,1,D,1,0,H,,12,18,4,6,19,16,3,4,2,2,1,0
2015-10-17,Bastia,Paris SG,0,2,A,0,0,D,,6,13,2,5,14,15,2,3,3,1,0,0
2015-10-17,Guingamp,Lille,1,1,D,1,1,D,,10,10,2,2,11,25,3,3,1,3,0,1
2015-10-17,Nantes,Troyes,3,0,H,1,0,H,,17,14,4,2,4,8,5,4,0,1,0,0
2015-10-17,Reims,Caen,0,1,A,0,0,D,,12,11,2,4,13,16,4,6,2,3,0,0
2015-10-17,St Etienne,Ajaccio GFCO,2,0,H,1,0,H,,13,4,6,0,11,13,5,3,0,0,0,0
2015-10-17,Toulouse,Angers,1,2,A,1,2,A,,21,7,6,5,12,17,9,1,1,1,0,0
2015-10-18,Bordeaux,Montpellier,0,0,D,0,0,D,,16,6,3,0,16,10,7,2,4,2,0,0
2015-10-18,Marseille,Lorient,1,1,D,1,1,D,,21,6,8,2,19,14,11,4,1,3,0,0
2015-10-18,Rennes,Nice,1,4,A,0,1,A,,15,12,3,7,15,7,4,3,2,2,0,0
2015-10-23,Caen,Nantes,0,2,A,0,1,A,,16,10,4,3,8,19,7,6,1,2,0,0
2015-10-23,Lyon,Toulouse,3,0,H,1,0,H,,20,7,8,3,16,18,4,5,1,4,0,0
2015-10-24,Ajaccio GFCO,Nice,3,1,H,3,1,H,,13,9,6,2,16,11,5,3,3,3,1,0
2015-10-24,Angers,Guingamp,0,0,D,0,0,D,,10,11,2,2,20,12,7,7,2,2,1,0
2015-10-24,Lorient,Rennes,1,1,D,1,0,H,,10,11,5,3,12,15,3,8,0,0,1,1
2015-10-24,Montpellier,Bastia,2,0,H,0,0,D,,10,13,3,1,8,12,5,4,1,3,0,0
2015-10-25,Bordeaux,Troyes,1,0,H,0,0,D,,16,11,4,2,9,16,5,4,1,4,0,0
2015-10-25,Lille,Marseille,1,2,A,0,1,A,,10,12,4,6,14,24,3,5,3,4,0,0
2015-10-25,Paris SG,St Etienne,4,1,H,1,0,H,,21,14,10,6,9,15,5,0,0,0,0,0
2015-10-25,Reims,Monaco,0,1,A,0,1,A,,13,16,6,4,13,12,3,5,1,2,1,0
2015-10-30,Rennes,Paris SG,0,1,A,0,0,D,,5,13,2,5,14,11,1,3,0,0,0,0
2015-10-31,Ajaccio GFCO,Bordeaux,2,0,H,1,0,H,,7,7,4,0,20,10,2,5,3,4,1,0
2015-10-31,Bastia,Caen,1,0,H,1,0,H,,11,5,6,3,12,17,8,2,1,2,0,0
2015-10-31,Guingamp,Lorient,2,2,D,1,0,H,,13,12,4,4,10,19,4,3,3,1,1,1
2015-10-31,St Etienne,Reims,3,0,H,0,0,D,,20,8,8,5,11,10,7,12,1,1,0,0
2015-10-31,Toulouse,Montpellier,1,1,D,1,1,D,,10,7,5,1,22,15,3,7,4,2,0,0
2015-10-31,Troyes,Lyon,0,1,A,0,0,D,,8,31,2,6,12,14,3,10,2,0,1,0
2015-11-01,Monaco,Angers,1,0,H,1,0,H,,13,15,2,5,7,21,2,4,3,4,0,0
2015-11-01,Nantes,Marseille,0,1,A,0,0,D,,12,12,4,3,20,18,5,2,2,1,0,0
2015-11-01,Nice,Lille,0,0,D,0,0,D,,9,9,4,1,24,26,7,5,3,3,0,0
2015-11-04,Nice,Nantes,1,2,A,1,1,D,,9,12,3,6,7,16,3,6,1,3,0,0
2015-11-06,Angers,Rennes,0,2,A,0,1,A,,18,10,3,2,8,15,5,2,1,2,0,0
2015-11-07,Caen,Guingamp,2,1,H,0,0,D,,16,13,5,6,11,14,11,6,1,1,0,0
2015-11-07,Lille,Bastia,1,1,D,0,0,D,,10,9,1,2,14,12,5,5,1,3,1,0
2015-11-07,Lorient,Troyes,4,1,H,1,0,H,,29,13,10,6,9,11,10,5,0,0,0,0
2015-11-07,Montpellier,Nantes,2,1,H,1,0,H,,10,10,4,2,6,14,2,6,0,4,0,0
2015-11-07,Paris SG,Toulouse,5,0,H,2,0,H,,15,7,9,0,13,13,5,0,2,1,0,0
