Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
10/08/18,Marseille,Toulouse,4,0,H,1,0,H,23,5,10,1,7,20,5,1,1,3,0,0
11/08/18,Angers,Nimes,3,4,A,1,1,D,21,14,7,5,20,12,5,1,2,2,0,1
11/08/18,Lille,Rennes,3,1,H,1,1,D,15,8,6,2,12,13,2,6,1,0,0,0
11/08/18,Montpellier,Dijon,1,2,A,1,0,H,16,9,7,4,15,21,4,2,2,2,0,0
11/08/18,Nantes,Monaco,1,3,A,0,0,D,16,11,4,6,8,15,7,2,1,0,0,0
11/08/18,Nice,Reims,0,1,A,0,1,A,19,5,1,3,13,14,10,2,1,2,0,0
11/08/18,St Etienne,Guingamp,2,1,H,1,0,H,11,11,6,5,14,11,6,9,3,1,0,0
12/08/18,Bordeaux,Strasbourg,0,2,A,0,0,D,5,17,2,6,6,12,3,10,1,0,1,0
12/08/18,Lyon,Amiens,2,0,H,1,0,H,15,10,7,1,9,17,10,1,0,2,0,0
12/08/18,Paris SG,Caen,3,0,H,2,0,H,11,5,8,1,13,7,6,3,1,0,0,0
