minute,goal_count
1,14
2,15
3,13
4,32
5,25
6,25
7,23
8,25
9,21
10,22
11,32
12,30
13,19
14,19
15,26
16,20
17,31
18,43
19,19
20,26
21,22
22,18
23,28
24,27
25,25
26,32
27,26
28,18
29,24
30,20
31,28
32,20
33,16
34,23
35,29
36,21
37,23
38,30
39,33
40,22
41,14
42,20
43,30
44,39
45,49
46,23
47,21
48,31
49,21
50,37
51,33
52,32
53,27
54,27
55,38
56,26
57,32
58,23
59,28
60,34
61,28
62,32
63,27
64,24
65,37
66,26
67,38
68,33
69,35
70,34
71,31
72,20
73,43
74,21
75,47
76,31
77,20
78,35
79,27
80,36
81,38
82,34
83,41
84,35
85,36
86,22
87,28
88,39
89,40
90,108
